Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
UFC,UNIVERSIDADE FEDERAL DO CEARÁ,150114,BIOTECNOLOGIA,Bacharelado,50,3382,Semestral,8,600034,Senhor do Bonfim,Rua Campus do Pici,s/n,,Pici,2304400,Fortaleza,CE
UEPB,UNIVERSIDADE ESTADUAL DA PARAÍBA,311610,ENFERMAGEM,Bacharelado,80,4000,Semestral,10,826,Campus I - Unidade Acadêmica Reitor Lynaldo Cavalcanti de Albuquerque,Avenida das Baraúnas,351,,Bodocongó,2504009,Campina Grande,PB
IME,INSTITUTO MILITAR DE ENGENHARIA,50617,ENGENHARIA CARTOGRÁFICA,Bacharelado,30,4639,Anual,5,657996,Porto Franco,Praça General Tibúrcio,80,,URCA,3304557,Rio de Janeiro,RJ
UNITINS,UNIVERSIDADE ESTADUAL DO TOCANTINS,1313170,DIREITO,Bacharelado,460,3700,Semestral,,1072191,Campus Pampulha,Avenida Araguaia,s/n,,São Raimundo,1702554,Augustinópolis,TO
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,1468981,AGRONOMIA,Bacharelado,50,4060,Semestral,10,392,Paulo Freire,Rua Luiz Aldori Neves Fernandes,157,,Centro,5103205,Colíder,MT
IFESP,INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY - CENTRO DE FORMAÇÃO DE PROFISSIONAIS DE EDUCAÇÃO,71464,CIÊNCIAS,Licenciatura,60,2830,Anual,,1039317,SANTA INÊS,Rua Jaguarari,2.100,,Lagoa Nova,2408102,Natal,RN
UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,1431,CIÊNCIAS ECONÔMICAS,Bacharelado,80,3270,Semestral,8,1005524,Campus - João Monlevade - ICEA,Avenida João Naves de Ávila,2121,,Santa Mônica,3170206,Uberlândia,MG
IFNMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Faculdade de Tecnologia - FT/UNICAMP,,,,,,,
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,303212,FÍSICA,Bacharelado,40,2430,Anual,,733,Núcleo de Ensino Superior de Presidente Figueiredo,Avenida Dr. Ariberto Pereira da Cunha,333,,Pedregulho,3518404,Guaratinguetá,SP
IFAC,Instituto Federal de Educação,,,,,,,,,CÂMPUS GOIÁS,,,,,,,
UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,14328,MATEMÁTICA,Licenciatura,90,2800,Semestral,8,657978,Unidade de São Luiz Gonzaga,Avenida Brigadeiro Trompowsky,s/n,Cidade Universitária,Ilha do Fundão,3304557,Rio de Janeiro,RJ
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1343867,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,42,2800,Semestral,,2272,Campus XX-Parfor,Rua Castelo Branco,216,E.E.G.Buzaglo,Centro,1303304,Novo Aripuanã,AM
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,67143,QUÍMICA AMBIENTAL,Bacharelado,50,3420,Semestral,8,747,CAMPUS - CAPELINHA - CENTRO,,,,,,,
USP,UNIVERSIDADE DE SÃO PAULO,64620,ENGENHARIA NAVAL,Bacharelado,43,4215,Semestral,10,1075920,Unidade Acadêmica de Turiaçú,Avenida Professor Luciano Gualberto,380,Travessa 03 (Escola Politécnica),Butantã,3550308,São Paulo,SP
UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,113641,TEATRO,Licenciatura,55,3150,Semestral,,1046994,Escola de Música / Campus de Belo Horizonte,Rua Alberto Rosa,62,Centro de Artes,Porto,4314407,Pelotas,RS
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,12042,PEDAGOGIA,Licenciatura,40,2800,Semestral,8,258,Campus VII - Conceição do Araguaia,13ª Rua,S/Nº,,Umirizal,1507904,Soure,PA
UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,14559,MEDICINA VETERINÁRIA,Bacharelado,80,5219,Semestral,10,1033603,UNIDADE ABAETÉ,Avenida Presidente Tancredo Neves,2501,,Terra Firme,1501402,Belém,PA
UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,14249,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,72,3675,Semestral,10,1005565,Instituto de Filosofia e Ciências Humanas - IFCH/UNICAMP,Campus Universitário,s/n,,Trindade,4205407,Florianópolis,SC
EsSLog,Escola de Sargentos de Logística,1575248,MÚSICA MILITAR,Tecnológico,50,3910,Anual,2,1090399,Guanambi,Rua João Vicente,2179,- de 2150/2151 ao fim,Deodoro,3304557,Rio de Janeiro,RJ
UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,31960,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,52,2880,Semestral,8,971,CAMPUS CENTRO: Escola de Engenharia de Volta Redonda,Av. Pasteur,250,PRAIA VERMELHA,Praia Vermelha,3304557,Rio de Janeiro,RJ
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,1158043,CIÊNCIAS BIOLÓGICAS,Licenciatura,50,2925,Anual,3,1052159,CAMPUS CARREIROS - SEDE,Av. Agenor Magalhães,S/N,,Amaralina,2930105,Senhor do Bonfim,BA
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,12024,ESTATÍSTICA,Bacharelado,50,3000,Semestral,,1005925,Campus XX - Castanhal,RUA AUGUSTO CORREA,1,CIDADE UNIVERSITARIA JOSÉ DA SILVEIRA NETTO,GUAMÁ,1501402,Belém,PA
UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,1127907,ALIMENTOS,Tecnológico,100,2700,Semestral,,1066279,Universidade Federal de Viçosa,Avenida dos Escoteiros,s/n,,Mangabeira,2507507,João Pessoa,PB
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1145140,CIÊNCIAS - BIOLOGIA,Licenciatura,50,3465,Semestral,4,152887,Instituto de Estudos da Linguagem - IEL/UNICAMP,Rua Custódio Barbosa,s/n°,unidade integrada Clarindo Santiago,Centro,2109007,Porto Franco,MA
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,11455,CIÊNCIAS IMOBILIÁRIAS,Bacharelado,52,3075,Semestral,,1006314,CAMPUS - SABINÓPOLIS - CENTRO,Avenida dos Portugueses,1966,,Vila Bacanga,2111300,São Luís,MA
