Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,312945,CIÊNCIAS BIOLÓGICAS,Bacharelado,50,3210,Semestral,,103266,Campus Paricarana,Avenida Antonio Carlos,6627,,Pampulha,3106200,Belo Horizonte,MG
UFSB,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,1293071,INTERDISCIPLINAR EM CIÊNCIAS,Bacharelado,180,2415,Quadrimestral,,1066450,CÂMPUS POSSE,Praça Joana Angélica,250,,São José,2931350,Teixeira de Freitas,BA
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,52991,LETRAS - INGLÊS,Licenciatura,0,2910,Anual,,1665,Campus Rio Paranaíba,Rua 04,54,SANTA INÊS,Vila Militar,2109908,Santa Inês,MA
IFFarroupilha,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Experimental de Ourinhos,,,,,,,
UFOP,UNIVERSIDADE FEDERAL DE OURO PRETO,61560,ENGENHARIA DE PRODUÇÃO,Bacharelado,80,3610,Semestral,,2244,Unidade Cidelândia,Rua 37,115,,Loanda,3136207,João Monlevade,MG
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,60568,SANEAMENTO AMBIENTAL,Tecnológico,0,5940,Semestral,,1052271,Campus de Buri - Lagoa do Sino,Rua Paschoal Marmo,1888,,Jardim Nova Itália,3526902,Limeira,SP
IFMT,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus de Rondon do Pará,,,,,,,
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1315495,LOGÍSTICA,Tecnológico,52,2990,Semestral,,600128,Unidade Universitária de Dourados/SEDE,Rua Itauba,nº 31,,Bairro Morada do Sol,1303536,Presidente Figueiredo,AM
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,3131,LETRAS,Licenciatura,60,3540,Semestral,,691248,CÂMPUS CURITIBA - Sede CENTRO,RODOVIA ARARAQUARA - JAU,S/N,KM 1,Campos Ville,3503208,Araraquara,SP
UEG,UNIVERSIDADE ESTADUAL DE GOIÁS,32987,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,40,2910,Anual,,520,CAMPUS IGUATU,AV. DEUSDETE FERREIRA MOURA,S/N,,CENTRO,5208905,Goiás,GO
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS CENTRO POLITÉCNICO,,,,,,,
UERGS,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,150122,PEDAGOGIA,Licenciatura,40,3435,Semestral,,2937,Instituto de Matemática,Rua Marechal Floriano Peixoto,4557,,Centro,4318903,São Luiz Gonzaga,RS
IFAL,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Câmpus de São Paulo / Instituto de Artes,,,,,,,
UFMS,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,15831,CIÊNCIAS BIOLÓGICAS,Licenciatura,50,3082,Semestral,8,638,Campus de Caicó,Av. Costa e Silva,s/n,,Cidade Universitária,5002704,Campo Grande,MS
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,1383158,ARTES VISUAIS,Licenciatura,38,3510,Semestral,,1080361,Campus de Bauru,Rua Prof. Luís Rogério,S/N,,Centro,2904100,Boquira,BA
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,87595,HISTÓRIA,Licenciatura,45,3050,Semestral,,701338,Faculdade de Direito I,Rua Governador Valadares,57,,Centro,3112307,Capelinha,MG
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,1163263,CIÊNCIAS EXATAS,Licenciatura,51,3450,Semestral,0,1055099,Campus XIII - Itaberaba,Avenida Santos Dumont,0,,Centro,2112407,Turiaçu,MA
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,24591,EDUCAÇÃO ARTÍSTICA,Licenciatura,0,3132,Semestral,,3266,Campus Pasteur 436,Rua Riachuelo,1.351,,Padre Eustáquio,3106200,Belo Horizonte,MG
FATECSJCAMPOS,Faculdade de Tecnologia de São José dos Campos - Jessen Vidal,1160224,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,160,2800,Semestral,,1051400,CAMPUS LITORAL,Rodovia Presidente Dutra,sn,Km 138,Eugênio de Mello,3549904,São José dos Campos,SP
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,87370,CIÊNCIAS NATURAIS,Licenciatura,20,3720,Anual,,1754,Câmpus de Jaboticabal / Faculdade de Ciências Agrárias e Veterinárias,Av. Araguaia,s/n,,Vila Cruzeiro,1502707,Conceição do Araguaia,PA
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,73132,ADMINISTRAÇÃO,Bacharelado,50,3000,Semestral,,1043962,UNIDADE - DIAMANTINA - CENTRO,Rua João Gonçalves,197,,Amazonas,3100203,Abaeté,MG
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,40209,HISTÓRIA,Licenciatura,40,2800,Semestral,8,1052269,CAMPUS  - SOBRAL - BETÁNIA,Rua Cora Coralina,100,,Cidade Universitária,3509502,Campinas,SP
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,1158062,MATEMÁTICA,Licenciatura,50,3105,Anual,3,1051335,Centro de Estudos Superiores de Tefé,Avenida Luis Viana Filho,S/N,,Batalhão,2911709,Guanambi,BA
UFF,UNIVERSIDADE FEDERAL FLUMINENSE,44370,ENGENHARIA MECÂNICA,Bacharelado,80,3730,Semestral,10,1106,Unidade Descentralizada de Iguatu,Av. dos Trabalhadores,420,,Vila Santa Cecília,3306305,Volta Redonda,RJ
FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,1103537,ENGENHARIA CIVIL COSTEIRA E PORTUÁRIA,Bacharelado,25,4340,Anual,5,1045632,Campus IV - Jacobina,Avenida Itália,S/N,Km 8,Carreiros,4315602,Rio Grande,RS
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,1488159,FÍSICA,Licenciatura,40,3400,Semestral,,1055413,Campus da Praia Vermelha,Rua Pedro Porpino,1181,320,Salgadinho,1502400,Castanhal,PA
UFV,UNIVERSIDADE FEDERAL DE VIÇOSA,686,CIÊNCIAS ECONÔMICAS,Bacharelado,80,3000,Semestral,9,1005394,Santa Rita Escola Municipal Presidente Vargas,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,3171303,Viçosa,MG
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,91877,ESTUDOS LITERÁRIOS,Bacharelado,20,2400,Semestral,8,1052248,UNIDADES DISPERSAS - SALVADOR - Escola de Belas Artes,Rua Sérgio Buarque de Holanda,571,,Cidade Universitária,3509502,Campinas,SP
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,87645,PEDAGOGIA,Licenciatura,46,2800,Semestral,,701358,Núcleo de Ensino Superior de Coari,BR 259 Saida para Guanhães,s/n,,Centro,3156809,Sabinópolis,MG
UFRR,UNIVERSIDADE FEDERAL DE RORAIMA,16892,CIÊNCIAS CONTÁBEIS,Bacharelado,80,3000,Semestral,8,1033528,Campus I - CCSE,Avenida Capitão Ene Garcez,2413,,Aeroporto,1400100,Boa Vista,RR
UEG,UNIVERSIDADE ESTADUAL DE GOIÁS,1206393,PRODUÇÃO DE GRÃOS,Tecnológico,40,2650,Anual,,499,Unidade de Novo Hamburgo,AV. JK,153,Qd. 08,SETOR SANTA LUZIA,5218300,Posse,GO
UFV,UNIVERSIDADE FEDERAL DE VIÇOSA,118058,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,Bacharelado,50,3195,Semestral,8,25596,CÂMPUS QUIRINÓPOLIS,Campus Universitário - Rodovia BR 354 - Km 310,s/n,,Centro,3155504,Rio Paranaíba,MG
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,82077,GEOGRAFIA,Licenciatura,90,2895,Semestral,,2792,Núcleo de Ensino Superior da UEA em Anori,Av. Vitalina Marcusso,1500,,-,3534708,Ourinhos,SP
UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,300380,FILOSOFIA,Bacharelado,62,2400,Semestral,,1036292,CAMPUS A. C. SIMÕES,Av. Rodrigo Otávio,6200,Campus Universitário,Coroado II,1302603,Manaus,AM
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1153290,HISTÓRIA,Licenciatura,50,3375,Semestral,8,152867,Campus VI - Município de Paragominas,Avenida 15 de Novembro,s/n,Centro de Ensino Izaura Amorim,Centro,2103257,Cidelândia,MA
UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,1322704,CIÊNCIAS BIOLÓGICAS,Bacharelado,40,3600,Anual,4,1062945,CAMPUS SANTA CRUZ,Rodovia Lauri Simões de Barros,,,,,,
FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,18889,QUÍMICA,Licenciatura,25,3410,Semestral,8,1045632,Campus Reitor Edgard Santos,Avenida Itália,S/N,Km 8,Carreiros,4315602,Rio Grande,RS
UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,1270315,CIÊNCIAS CONTÁBEIS,Bacharelado,90,3462,Semestral,,1066079,Campus Universitário de Cuiabá,Rua Rio Grande do Sul,s/n,,Centro,1506187,Rondon do Pará,PA
UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,14237,PEDAGOGIA,Licenciatura,100,3320,Semestral,,1005565,CAMPUS DE MARABÁ - UNIDADE II,Campus Universitário,s/n,,Trindade,4205407,Florianópolis,SC
UEMS,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,95706,SISTEMAS DE INFORMAÇÃO,Bacharelado,40,3142,Anual,,1045624,CAMPUS DE PARANAVAÍ,Cidade Universitária de Dourados,s/n,Rodovia Dourados Itahum,Cidade Universitária,5003702,Dourados,MS
UEL,UNIVERSIDADE ESTADUAL DE LONDRINA,103393,LETRAS - INGLÊS,Licenciatura,40,3200,Anual,,657675,Campus Guarulhos,Rodovia Celso Garcia Cid Pr 445 Km 380,,UEL - CAMPUS UNIVERSITÁRIO,Campus Universitário,4113700,Londrina,PR
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade Acadêmica de Presidente Vargas,,,,,,,
UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,12964,FISIOTERAPIA,Bacharelado,75,4005,Semestral,,103266,CAMPUS MARCO ZERO - UNIFAP,Avenida Antonio Carlos,6627,,Pampulha,3106200,Belo Horizonte,MG
UTFPR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,21188,MECATRÔNICA INDUSTRIAL,Tecnológico,44,3000,Semestral,,2004801,CÂMPUS JUSSARA,Av. Sete de Setembro,3.165,,Rebouças,4106902,Curitiba,PR
UECE,UNIVERSIDADE ESTADUAL DO CEARÁ,58528,FÍSICA,Licenciatura,60,3026,Semestral,,202,Centro de Artes - Bloco II,RUA DEOCLECIANO LIMA VERDE,,,,,,
UFS,UNIVERSIDADE FEDERAL DE SERGIPE,308,DIREITO,Bacharelado,100,3780,Semestral,,1006435,CAMPUS - GOUVEIA - CENTRO,Avenida Marechal Rondon,s/n,,Jardim Rosa Elze,2806701,São Cristóvão,SE
IFPA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,FATEC OSASCO -Prefeito Hirant Sanazar,,,,,,,
UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,20015,ENGENHARIA DE PESCA,Bacharelado,50,4522,Semestral,10,1033603,FACULDADE DE CIÊNCIAS ECONÔMICAS E ADMINISTRATIVAS DE OSASCO,Avenida Presidente Tancredo Neves,2501,,Terra Firme,1501402,Belém,PA
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,1214937,ENGENHARIA DE TELECOMUNICAÇÕES,Bacharelado,50,3720,Semestral,10,1052271,Unidade Codó,Rua Paschoal Marmo,1888,,Jardim Nova Itália,3526902,Limeira,SP
UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,1120244,ENGENHARIA COMPUTACIONAL,Bacharelado,40,3800,Semestral,10,1039546,Instituto Multidisciplinar - Campus de Nova Iguaçu,Campus Universitário,s/n,UFJF,São Pedro,3136702,Juiz de Fora,MG
UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,12555,QUÍMICA,Licenciatura,73,3230,Semestral,9,1005380,Núcleo Avançado de Educação Superior de Caraúbas,Avenida Coronel Francisco Heráclito dos Santos,210,CAMPUS CENTRO POLITÉCNICO,Jardim das Américas,4106902,Curitiba,PR
IFES,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Escola de Comunicações e Artes - ECA,,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,112778,MATEMÁTICA APLICADA E COMPUTACIONAL,Bacharelado,0,3795,Semestral,8,685816,Núcleo Avançado de Educação Superior de Currais Novos,,,,,,,
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,94725,ARTES VISUAIS,Licenciatura,40,2985,Anual,,748,Núcleo de Interiorização de Senador Guiomard,Rua Dom Luiz Lazagna,400,,Ipiranga,3550308,São Paulo,SP
UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1083431,HISTÓRIA,Bacharelado,15,2490,Semestral,8,8074,Campus de Santa Cruz,Rua Evaristo de Medeiros,s/n,Centro,Penedo,2402006,Caicó,RN
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,1212124,EDUCAÇÃO FÍSICA,Bacharelado,20,3210,Semestral,8,727,Escola Municipal Queiroz Neto,Av. Engº Luiz Edmundo Carrijo Coube,14-01,,Vargem Limpa,3506003,Bauru,SP
UFF,UNIVERSIDADE FEDERAL FLUMINENSE,1166700,SEGURANÇA PÚBLICA,Bacharelado,120,2700,Semestral,,1103,CAMPUS  - CAMPOS DOS GOYTACAZES - PARQUE CALIFÓRNIA,Rua Presidente Pedreira,62,,Ingá,3303302,Niterói,RJ
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,1264335,EDUCAÇÃO DO CAMPO,Licenciatura,60,3200,Semestral,,1051338,Campus Sete Lagoas - CSL,Avenida Luis Viana Filho,,,,,,
USP,UNIVERSIDADE DE SÃO PAULO,5000841,MEDICINA,Bacharelado,100,9585,Semestral,12,1078743,Campus Santo Antônio,Av. Bandeirantes,3900,Faculdade de Medicina de Ribeirão Preto - USP,Vila Monte Alegre,3543402,Ribeirão Preto,SP
UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,15778,TEATRO,Licenciatura,30,2990,Semestral,8,1233,CAMPUS I,Avenida Pasteur,436,,Urca,3304557,Rio de Janeiro,RJ
UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,102296,SERVIÇO SOCIAL,Bacharelado,35,3000,Semestral,,30141,Centro de Estudos Superiores de Pedreiras - CESPE,Rua Jaguariaíva,512,,Caiobá,4115705,Matinhos,PR
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,85430,ADMINISTRAÇÃO,Bacharelado,50,3628,Anual,,735,UNIDADE SEDE PORTO VELHO - CAMPUS JOSÉ RIBEIRO FILHO,Via de Acesso Prof. Paulo Donato  Castellane,S/N,,-,3524303,Jaboticabal,SP
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,72659,FILOSOFIA,Licenciatura,80,2850,Semestral,,659509,Câmpus Santo André - Sede,Rua da Glória,394,,Centro,3121605,Diamantina,MG
UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,20530,FILOSOFIA,Licenciatura,60,3420,Semestral,,697263,CAMPUS II - Alagoinhas,AVENIDA DA UNIVERSIDADE,850,,BETÁNIA,2312908,Sobral,CE
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1157467,PEDAGOGIA INTERCULTURAL INDíGENA,Licenciatura,50,3210,Semestral,,1052077,Escola de Engenharia,Estrada do Aeroporto,-,Estrada do Bexiga,,,,
URCA,UNIVERSIDADE REGIONAL DO CARIRI,1258919,ENFERMAGEM,Bacharelado,80,4485,Semestral,0,1063007,Unidade Acadêmica - Jaraguá do Sul,Rua Dom Quintino,73,,São Sebastião,2305506,Iguatu,CE
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,91409,PEDAGOGIA,Licenciatura,50,3240,Semestral,,1555,Unidade Barreirinhas,Rua J.J. Seabra,158,,Estação,2917508,Jacobina,BA
UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,45008,CIÊNCIAS SOCIAIS,Bacharelado,83,2400,Semestral,8,34999,Câmpus de Ilha Solteira / Faculdade de Engenharia,Av. Bento Gonçalves,9500,,Agronomia,4314902,Porto Alegre,RS
UFF,UNIVERSIDADE FEDERAL FLUMINENSE,90473,ENGENHARIA DE PETRÓLEO,Bacharelado,50,3907,Semestral,10,1095,CAMPUS  - TERESINA - PIRAJÁ,Rua Passo da Pátria,156,Centro Tecnológico,São Domingos,3303302,Niterói,RJ
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1483519,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,35,3690,Semestral,8,1104298,Campus do Gragoatá,Rua Rui Barbosa,s/n,,Centro,2110203,Santa Rita,MA
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,1442117,SOCIOLOGIA,Licenciatura,50,3200,Semestral,8,3322,CAMPUS SENADOR HELVÍDIO NUNES DE BARROS,Av. Centro Oeste,S/N,,Vila Nova,5103353,Confresa,MT
UFABC,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,1103021,FILOSOFIA,Bacharelado,50,2880,Quadrimestral,,1060049,Unidade Carolina,Alameda da Universidade,S/N,,Anchieta,3548708,São Bernardo do Campo,SP
UEL,UNIVERSIDADE ESTADUAL DE LONDRINA,103383,LETRAS,Bacharelado,1,3120,Anual,,657675,SÃO LUIS,Rodovia Celso Garcia Cid Pr 445 Km 380,,UEL - CAMPUS UNIVERSITÁRIO,Campus Universitário,4113700,Londrina,PR
UFJ,UNIVERSIDADE FEDERAL DE JATAÍ,1111227,FISIOTERAPIA,Bacharelado,40,4080,Semestral,10,1112733,Unidade Grajaú,Rodovia BR-364,,,Setor Francisco Antônio,5211909,Jataí,GO
UFBA,UNIVERSIDADE FEDERAL DA BAHIA,13306,ARTES PLÁSTICAS,Bacharelado,60,3483,Semestral,8,1047084,Campus de Jequié,AV. ARAUJO PINHO,212,CAMPUS UNIVERSITARIO CANELA,CANELA,2927408,Salvador,BA
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1517348,GEOGRAFIA,Licenciatura,40,3200,Semestral,,2044,RIO DE JANEIRO,Rua C  Conj.Amazonino Mendes,S/N,,União,1301209,Coari,AM
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,45947,SECRETARIADO EXECUTIVO TRILÍNGUE,Bacharelado,40,3200,Anual,,1044295,Campus Universitario de Abaetetuba,Travessa Djalma Dutra,S/N,,Telégrafo Sem Fio,1501402,Belém,PA
UFC,UNIVERSIDADE FEDERAL DO CEARÁ,150115,CIÊNCIAS AMBIENTAIS,Bacharelado,40,3200,Semestral,8,600051,CAMPUS  - MATIAS BARBOSA - CENTRO,Avenida da Abolição,3207,,Meireles,2304400,Fortaleza,CE
UERGS,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,66966,ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA,Bacharelado,40,4125,Semestral,10,2931,Campus Universitário Prof. Antonio Garcia Filho,Rua Inconfidentes,395,,Primavera,4313409,Novo Hamburgo,RS
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,87798,LETRAS,Licenciatura,30,2750,Anual,,3673,Núcleo de Ensino Superior de Humaitá,PA 140 KM 0,s/nº,,Amparo,1508209,Vigia,PA
IFMA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,ESCOLA DE MÚSICA,,,,,,,
UEG,UNIVERSIDADE ESTADUAL DE GOIÁS,47331,EDUCAÇÃO FÍSICA,Licenciatura,40,3640,Anual,4,498,Campus V - Santo Antônio de Jesus,AV. BRASIL,S/N,Qd. 03 Lt. 01,CONJUNTO HÉLIO LEÃO,5218508,Quirinópolis,GO
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1343813,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,42,2800,Semestral,,2202,Coração de Maria,Estrada Anori-Anamã,s/nº,E.E.A.U.Izel,São Francisco,1300102,Anori,AM
UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,1457433,AGROECOLOGIA,Bacharelado,50,4140,Semestral,10,1036246,Instituto de Ciências Matemáticas e de Computação - ICMC,Av. Lourival de Melo Mota,s/n,CAMPUS A. C. SIMÕES - Cidade Universitária,TABULEIRO DO MARTINS,2704302,Maceió,AL
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,87686,MATEMÁTICA,Licenciatura,20,3560,Anual,,1753,CESC,Rodovia PA 125,s/n,,Angelim,1505502,Paragominas,PA
IFPA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS - ARAÇUAÍ - CENTRO,,,,,,,
UNICENTRO,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,49701,FILOSOFIA,Licenciatura,40,2806,Anual,,658271,CAMPUS  - OURINHOS - CAMPUS UNIVERSITÁRIO,Rua Salvatore Renna,875,,Santa Cruz,4109401,Guarapuava,PR
UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,99040,QUÍMICA,Licenciatura,40,3260,Semestral,8,1066442,CAMPUS  - LAGO DA PEDRA - CAJUEIRO,Rua da Prainha,1326,,Morada Nobre,2903201,Barreiras,BA
UFMT,UNIVERSIDADE FEDERAL DE MATO GROSSO,31373,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,30,2880,Semestral,,105340,CÂMPUS PIRENÓPOLIS,Avenida Fernando Correa da Costa,2367,Cidade Universitária,Boa Esperança,5103403,Cuiabá,MT
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Baixada Santista - Unidade Carvalho,,,,,,,
UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,12037,MATEMÁTICA,Licenciatura,40,3196,Semestral,,1066314,SEDE - Fatec Nilo De Stéfani - Jaboticabal,Folha 17,,,,,,
UNESPAR,Universidade Estadual do Paraná,43086,EDUCAÇÃO FÍSICA,Licenciatura,50,3448,Anual,4,657717,Campus do Agreste Caruaru,Avenida Gabriel Esperidião,S/N,"Campus Universitário ""Frei Ulrico Goevert""",Jardim Morumbi,4118402,Paranavaí,PR
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS  - UNIÃO DA VITÓRIA - CENTRO,,,,,,,
UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,1103088,LETRAS - PORTUGUÊS E FRANCÊS,Licenciatura,100,3200,Semestral,,1041321,Campus Janaúba,Estrada do Caminho Velho,333,,Pimentas,3518800,Guarulhos,SP
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,5001194,LETRAS - PORTUGUÊS,Licenciatura,50,3090,Semestral,,1055095,Campus de Pombal,Avenida Pio XII,22,,COHAB,2109304,Presidente Vargas,MA
UNILAB,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,1292765,CIÊNCIAS BIOLÓGICAS,Licenciatura,50,3641,Semestral,9,1050267,CAMPUS BINACIONAL - (Endereço novo),Rodovia CE 060,s/n,CAMPUS DAS AURORAS,Auroras,2311603,Redenção,CE
UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,1029763,MEDICINA,Bacharelado,60,8340,Semestral,12,1006640,UNIDADE PASSOS,Rodovia Juscelino Kubitschek,S/N,KM 2,Zerão,1600303,Macapá,AP
UEG,UNIVERSIDADE ESTADUAL DE GOIÁS,21884,MATEMÁTICA,Licenciatura,40,3250,Anual,,521,CAMPUS LARANJAL DO JARI,RODOVIA GO 418 Km 01,S/N,,ALTO DA BOA VISTA,5212204,Jussara,GO
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,POLO COELHO NETO,,,,,,,
UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,34277,LETRAS - INGLÊS,Licenciatura,28,3200,Semestral,,1036249,CÂMPUS GOIÂNIA - ESEFFEGO,Avenida Senador  Salgado Filho,3000,Campus Universitário,Lagoa Nova,2408102,Natal,RN
IFBA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade Tapajós,,,,,,,
UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,113627,DESIGN DIGITAL,Bacharelado,28,3000,Semestral,8,1116728,Campus Arapiraca - UNIDADE EDUCACIONAL PALMEIRA DOS ÍNDIOS,Rua Álvaro Chaves,65,Centro de Artes - Bloco II,Centro,4314407,Pelotas,RS
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,87612,HISTÓRIA,Licenciatura,45,3050,Semestral,,701345,Lauro de Freitas,Avenida Coronel Sica,89,,Centro,3127602,Gouveia,MG
UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,1167476,EXPRESSãO GRáFICA,Bacharelado,44,2430,Semestral,,1005380,Instituto de Química de São Carlos - IQSC,Avenida Coronel Francisco Heráclito dos Santos,210,CAMPUS CENTRO POLITÉCNICO,Jardim das Américas,4106902,Curitiba,PR
Fatec Osasco,Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar,1152415,AUTOMAÇÃO INDUSTRIAL,Tecnológico,80,2880,Semestral,,1051714,CAMPUS GOVERNADOR VALADARES - Pitágoras,Rua Pedro Rissatto,30,,Remédios,3534401,Osasco,SP
FAC-FITO,FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO,70049,MÚSICA,Bacharelado,65,1800,Semestral,,1331,Campus III - Palmeira dos Índios,RUA ANGÉLICA,100,,JD. DAS FLORES,3534401,Osasco,SP
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1145520,CIêNCIAS - QUíMICA,Licenciatura,50,3345,Semestral,4,152879,Campus VIII - Paulo Afonso,Avenida 1º de Maio,s/n,Unidade Codó,Sebastião,2103307,Codó,MA
UNB,UNIVERSIDADE DE BRASÍLIA,151,ARTES VISUAIS,Licenciatura,25,3210,Semestral,8,4229,Centro de Ciências da Saúde,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,5300108,Brasília,DF
IFRN,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus IX - Município de Altamira,,,,,,,
UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,396158,MATEMÁTICA,Bacharelado,80,2810,Semestral,,1049594,Unidade Loreto,Av. Governador Roberto da Silveira,S/N,S/N,Moquetá,3303500,Nova Iguaçu,RJ
IFMT,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Centro de Estudos Superiores de Parintins,,,,,,,
UERN,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,57712,GEOGRAFIA,Licenciatura,40,3215,Semestral,,1901,UNIDADE IBIRITÉ,Rua Alfredo Alves de Azevedo,112,,Sebastião Maltêz Fernandes,2402303,Caraúbas,RN
